Year,FDI_Billion_USD,Inflation_Rate,Armed_Forces_Personnel,Military_Expenditure_Percent_GDP,Trade_Balance_Billion_USD,Agriculture_Share,Industry_Share,Services_Share,GDP_Billion_USD,GDP_Growth_Rate,Unemployment_Rate,Major_Event,War_Conflict_Indicator,PKR_per_USD,log_fx,time_idx
1947,0.05,7.585207096486446,197658.0,6.523029856408026,-0.1,53.0,10.0,37.0,3.0,5.493428306022466,5.6476885381006925,,0,3.31,1.1969481893889715,0
1948,0.055,12.737638446522174,205425.0,4.530525614065048,-0.12,52.6,10.3,37.1,3.120951782583049,4.031726086101639,5.7674347291529084,First Kashmir War,1,3.31,1.1969481893889715,1
1949,0.06,6.60281073928923,182750.0,3.086719755342202,-0.14,52.2,10.6,37.2,3.232468527310014,3.5731646143750755,5.241962271566035,,0,3.31,1.1969481893889715,2
1950,0.065,4.961506638996728,185876.0,4.091975924478789,-0.16,51.8,10.9,37.3,3.3415780762075578,3.3754249415180544,5.314247332595274,,0,3.31,1.1969481893889715,3
1951,0.0699999999999999,7.322671098540393,194556.0,3.575251813786543,-0.18,51.4,11.2,37.400000000000006,3.589900685509875,7.431297537843108,5.067528204687924,,0,3.31,1.1969481893889715,4
1952,0.075,4.547019267733091,197083.0,4.399361310081195,-0.2,51.0,11.5,37.5,3.75941023797458,4.7218451794197325,5.375698018345672,,0,3.31,1.1969481893889715,5
1953,0.08,13.556834553526812,208225.0,3.9422890710441,-0.22,50.6,11.8,37.6,3.883342458717992,3.296586775541206,4.986502775262066,,0,3.31,1.1969481893889715,6
1954,0.085,8.626590785014265,201968.0,3.671813951101569,-0.24,50.2,12.1,37.7,3.963273789732528,2.0583127000579555,3.040329876120224,,0,3.31,1.1969481893889715,7
1955,0.09,8.514104843569912,185214.0,4.698896304410711,-0.26,49.8,12.4,37.8,4.200156015092276,5.976933159990821,4.88435171761176,,0,3.31,1.1969481893889715,8
1956,0.095,6.618083687120637,182369.0,5.343618289568461,-0.28,49.4,12.7,37.900000000000006,4.328693876135061,3.0603115832105825,6.057122226218915,,0,3.91,1.3635373739972745,9
1957,0.1,6.84475315875105,210309.0,5.611676288840868,-0.3,49.0,13.0,38.0,4.551542306434594,5.14816793878959,4.323077999694041,,0,4.76,1.5602476682433286,10
1958,0.105,5.4823474303320845,209755.0,5.331263431403564,-0.32,48.6,13.3,38.1,4.841136927450127,6.362560238232398,4.690787624148785,,0,4.76,1.5602476682433286,11
1959,0.11,7.443023070008548,208125.0,3.803793375919329,-0.3399999999999999,48.2,13.6,38.2,5.012593127235071,3.54165152430942,3.893665025993972,,0,4.76,1.5602476682433286,12
1960,0.1020909090909091,6.94736842105289,218689.42307692303,4.31266261925412,-0.226585468290634,43.1892012994287,14.5737649826369,36.4792203427803,3.7492650146997097,4.764498971800415,3.79061299393166,,0,4.76,1.5602476682433286,13
1961,0.0941818181818182,1.64041994750609,229253.84615384616,4.09789064099939,-0.3212935741285169,41.7274256870443,15.6528832916943,36.1749859786876,4.11864762704746,5.98734641929141,3.687560961869349,,0,4.76,1.5602476682433286,14
1962,0.0862727272727272,-0.5164622336985,239818.2692307692,3.65587277256179,-0.331583368332633,40.0292326431181,16.6285018270402,36.5895249695493,4.31016379672407,4.48285862750326,3.584508929807037,,0,4.76,1.5602476682433286,15
1963,0.0783636363636363,1.45648844797496,250382.6923076923,3.64841297523544,-0.353632927341453,38.8400145111555,18.1072011608924,35.9649918374751,4.6308273834523295,8.68883151825786,3.4814568977447253,,0,4.76,1.5602476682433286,16
1964,0.0704545454545454,4.17958688145319,260947.11538461535,3.86589013064694,-0.399832003359933,38.3240539013959,18.7404179778907,35.5079480351812,5.20495590088198,7.56975744902432,3.378404865682413,,0,4.76,1.5602476682433286,17
1965,0.0625454545454545,5.56863547936375,271511.53846153844,5.90466788887322,-0.588828223435531,36.9683017531433,18.4487338409775,37.3826810695945,5.92923141537169,10.4193658220408,3.275352833620102,Indo-Pakistani War of 1965,1,4.76,1.5602476682433286,18
1966,0.0546363636363636,7.22762159787735,282075.9615384615,6.73052198508614,-0.3530029399412009,33.8368966841634,18.87722442709,40.0044808603252,6.56110877782444,5.78995180142022,3.1723008015577907,,0,4.76,1.5602476682433286,19
1967,0.0467272727272727,6.81139963428688,292640.3846153846,5.40460370194589,-0.496640067198656,35.0531705395825,17.8979350700501,38.822933663422,7.4645107097858,5.4006125972184,3.069248769495479,,0,4.76,1.5602476682433286,20
1968,0.0388181818181818,0.170627348438101,303204.8076923077,5.1039059949951,-0.326963460730785,36.5416753707959,18.1141633590976,38.1528096929183,8.0419991600168,7.23322092498739,2.966196737433167,,0,4.76,1.5602476682433286,21
1969,0.0309090909090909,3.18698679573686,313769.23076923075,5.51204188481675,-0.315833683326334,33.9500350673535,19.9400227333188,37.9743161866067,8.68311633767325,5.5078996342957,2.863144705370856,,0,4.76,1.5602476682433286,22
1970,0.023,5.34984090983017,324333.6538461539,6.15838762214984,-0.274044519109618,33.4317605914012,20.2655441770853,37.0798517308538,10.027509449811,11.3534617181927,2.760092673308544,,0,4.76,1.5602476682433286,23
1971,0.001,4.73069148232272,334898.0769230769,6.73553323768532,-0.294204115917682,31.9662932409285,21.1198834439172,37.4928629087831,10.6658966820664,0.468372548493363,2.6570406412462324,Indo-Pakistani War of 1971 & Bangladesh Liberation,1,4.76,1.5602476682433286,24
1972,0.017,5.18323764549138,345462.5,6.86595551145291,-0.1384535904942309,32.8022972948256,19.9074497466757,38.347996268725,9.41501635956604,0.813406404584697,2.553988609183921,,0,4.76,1.5602476682433286,25
1973,-0.004,23.0700840250844,356026.92307692306,6.21064272703617,0.0343327343232763,32.4586617673206,20.1534996740354,38.3823267942867,6.38342949021091,7.06426385694971,2.450936577121609,,0,4.76,1.5602476682433286,26
1974,0.004,26.6630348537488,366591.3461538461,6.09099631368984,-0.327474747474747,31.8766883839186,20.991577943747,39.853805815986,8.899191919191919,3.54019171278873,2.347884545059298,,0,4.76,1.5602476682433286,27
1975,0.025,20.9045094573998,377155.7692307693,6.32152024509398,-1.01232323232323,30.1601863594254,20.6362483473193,42.3446030418319,11.2306060606061,4.21141563146435,2.244832512996986,,0,11.01,2.3988039507345884,28
1976,0.0082205301678892,7.15832373118465,387720.19230769225,5.88947199314555,-1.00737373737374,29.4084256389801,20.8892025405787,41.5498143659292,13.1680808080808,5.15618958986124,2.141780480934674,,0,9.99,2.301584592660462,29
